,Id,SepalLengthCm,SepalWidthCm,PetalLengthCm,PetalWidthCm,Species
0,0,6.048276989533201,3.2934040849586133,3.1510679554377634,1.4598189169089217,Iris-versicolor
1,1,4.826162201955176,2.7321495026396194,2.399252680496722,1.0394859059981665,Iris-versicolor
2,2,5.500444962571182,3.4766023150938565,2.4412192031551685,1.0640054760281585,Iris-setosa
3,3,5.42954061276197,2.7071696162337853,3.3016403709920743,1.7633612128586738,Iris-versicolor
4,4,5.115078520863557,2.5117507186307084,4.680263668173165,1.6428374747309362,Iris-versicolor
5,5,6.147867810157897,2.2267334312251768,6.332300671238587,2.4516713620822403,Iris-virginica
6,6,6.205587239336761,3.879869531727698,3.7014308681993233,1.4922347283887183,Iris-setosa
7,7,4.943116876863267,2.5334669316920095,2.3033083675174595,0.8037675605385596,Iris-versicolor
8,8,5.470612801706938,2.5518705477284143,2.6858729519578683,0.34056040013316247,Iris-versicolor
9,9,5.635618313406689,3.376031808444502,5.871244478289047,1.8894133287234671,Iris-virginica
